,1_ExactMolWt,2_ExactMolWt,3_ExactMolWt,4_ExactMolWt,5_ExactMolWt,6_ExactMolWt,1_Chi0n,2_Chi0n,3_Chi0n,4_Chi0n,5_Chi0n,6_Chi0n,1_Chi0v,2_Chi0v,3_Chi0v,4_Chi0v,5_Chi0v,6_Chi0v,1_FractionCSP3,2_FractionCSP3,3_FractionCSP3,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,1_HeavyAtomCount,2_HeavyAtomCount,3_HeavyAtomCount,4_HeavyAtomCount,5_HeavyAtomCount,6_HeavyAtomCount,1_HeavyAtomMolWt,2_HeavyAtomMolWt,3_HeavyAtomMolWt,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,1_LabuteASA,2_LabuteASA,3_LabuteASA,4_LabuteASA,5_LabuteASA,6_LabuteASA,1_MolLogP,2_MolLogP,3_MolLogP,4_MolLogP,5_MolLogP,6_MolLogP,1_NumAliphaticRings,2_NumAliphaticRings,3_NumAliphaticRings,4_NumAliphaticRings,5_NumAliphaticRings,6_NumAliphaticRings,1_NumAromaticCarbocycles,2_NumAromaticCarbocycles,3_NumAromaticCarbocycles,4_NumAromaticCarbocycles,5_NumAromaticCarbocycles,6_NumAromaticCarbocycles,1_NumHAcceptors,2_NumHAcceptors,3_NumHAcceptors,4_NumHAcceptors,5_NumHAcceptors,6_NumHAcceptors,1_NumHDonors,2_NumHDonors,3_NumHDonors,4_NumHDonors,5_NumHDonors,6_NumHDonors,1_NumRotatableBonds,2_NumRotatableBonds,3_NumRotatableBonds,4_NumRotatableBonds,5_NumRotatableBonds,6_NumRotatableBonds,1_TPSA,2_TPSA,3_TPSA,4_TPSA,5_TPSA,6_TPSA,OUTPUT
20,78.01393581,78.01393581,211.823789,181.0294416,297.1477268,190.0266087,2.816496581,2.816496581,1.377964473,6.724990191,12.73011839,7.058709813,3.632993162,3.632993162,9.244070901,7.480919137,12.73011839,7.058709813,1,1,0,0.333333333,0.235294118,0,4,4,2,12,22,14,72.088,72.088,212.809,173.558,278.206,184.106,28.47844735,28.47844735,83.18596902,75.56977673,129.4755753,78.40010454,-0.0053,-0.0053,-5.992,2.17232,4.6464,1.4912,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,2,4,3,0,0,0,0,1,1,0,0,0,0,6,1,17.07,17.07,0,29.96,65.26,67.51,0
21,78.01393581,78.01393581,211.823789,181.0294416,297.1477268,991.9722398,2.816496581,2.816496581,1.377964473,6.724990191,12.73011839,34.11465457,3.632993162,3.632993162,9.244070901,7.480919137,12.73011839,45.38064089,1,1,0,0.333333333,0.235294118,0.058823529,4,4,2,12,22,64,72.088,72.088,212.809,173.558,278.206,968.628,28.47844735,28.47844735,83.18596902,75.56977673,129.4755753,452.2529366,-0.0053,-0.0053,-5.992,2.17232,4.6464,-7.8628,0,0,0,1,0,0,0,0,0,0,2,6,1,1,0,2,4,20,0,0,0,0,1,4,0,0,0,0,6,11,17.07,17.07,0,29.96,65.26,389.2,0
22,78.01393581,78.01393581,211.823789,181.0294416,190.0266087,991.9722398,2.816496581,2.816496581,1.377964473,6.724990191,7.058709813,34.11465457,3.632993162,3.632993162,9.244070901,7.480919137,7.058709813,45.38064089,1,1,0,0.333333333,0,0.058823529,4,4,2,12,14,64,72.088,72.088,212.809,173.558,184.106,968.628,28.47844735,28.47844735,83.18596902,75.56977673,78.40010454,452.2529366,-0.0053,-0.0053,-5.992,2.17232,1.4912,-7.8628,0,0,0,1,0,0,0,0,0,0,1,6,1,1,0,2,3,20,0,0,0,0,1,4,0,0,0,0,1,11,17.07,17.07,0,29.96,67.51,389.2,1
23,78.01393581,78.01393581,211.823789,297.1477268,190.0266087,991.9722398,2.816496581,2.816496581,1.377964473,12.73011839,7.058709813,34.11465457,3.632993162,3.632993162,9.244070901,12.73011839,7.058709813,45.38064089,1,1,0,0.235294118,0,0.058823529,4,4,2,22,14,64,72.088,72.088,212.809,278.206,184.106,968.628,28.47844735,28.47844735,83.18596902,129.4755753,78.40010454,452.2529366,-0.0053,-0.0053,-5.992,4.6464,1.4912,-7.8628,0,0,0,0,0,0,0,0,0,2,1,6,1,1,0,4,3,20,0,0,0,1,1,4,0,0,0,6,1,11,17.07,17.07,0,65.26,67.51,389.2,1
24,78.01393581,78.01393581,48.97192668,388.2123928,510.2298727,357.2204979,2.816496581,2.816496581,0.825178069,16.63970734,21.63571365,16.76984402,3.632993162,3.632993162,1.581107015,16.63970734,22.39164259,16.76984402,1,1,0,0.142857143,0.2,0.208333333,4,4,2,29,37,27,72.088,72.088,49.46,364.287,479.825,330.285,28.47844735,28.47844735,19.65732138,168.8935364,223.8673792,162.2081523,-0.0053,-0.0053,-3.4766,5.77146,3.9963,4.8173,0,0,0,0,0,1,0,0,0,3,4,2,1,1,0,8,5,3,0,0,0,4,0,0,0,0,0,4,7,4,17.07,17.07,30.5,153.52,47.97,18.84,1
25,78.01393581,78.01393581,48.97192668,388.2123928,510.2298727,1028.982745,2.816496581,2.816496581,0.825178069,16.63970734,21.63571365,35.78682347,3.632993162,3.632993162,1.581107015,16.63970734,22.39164259,47.05280979,1,1,0,0.142857143,0.2,0,4,4,2,29,37,68,72.088,72.088,49.46,364.287,479.825,1006.704,28.47844735,28.47844735,19.65732138,168.8935364,223.8673792,474.9719444,-0.0053,-0.0053,-3.4766,5.77146,3.9963,-3.5342,0,0,0,0,0,0,0,0,0,3,4,8,1,1,0,8,5,20,0,0,0,4,0,2,0,0,0,4,7,10,17.07,17.07,30.5,153.52,47.97,349.21,1
26,78.01393581,78.01393581,48.97192668,388.2123928,357.2204979,1028.982745,2.816496581,2.816496581,0.825178069,16.63970734,16.76984402,35.78682347,3.632993162,3.632993162,1.581107015,16.63970734,16.76984402,47.05280979,1,1,0,0.142857143,0.208333333,0,4,4,2,29,27,68,72.088,72.088,49.46,364.287,330.285,1006.704,28.47844735,28.47844735,19.65732138,168.8935364,162.2081523,474.9719444,-0.0053,-0.0053,-3.4766,5.77146,4.8173,-3.5342,0,0,0,0,1,0,0,0,0,3,2,8,1,1,0,8,3,20,0,0,0,4,0,2,0,0,0,4,4,10,17.07,17.07,30.5,153.52,18.84,349.21,0
27,78.01393581,78.01393581,48.97192668,510.2298727,357.2204979,1028.982745,2.816496581,2.816496581,0.825178069,21.63571365,16.76984402,35.78682347,3.632993162,3.632993162,1.581107015,22.39164259,16.76984402,47.05280979,1,1,0,0.2,0.208333333,0,4,4,2,37,27,68,72.088,72.088,49.46,479.825,330.285,1006.704,28.47844735,28.47844735,19.65732138,223.8673792,162.2081523,474.9719444,-0.0053,-0.0053,-3.4766,3.9963,4.8173,-3.5342,0,0,0,0,1,0,0,0,0,4,2,8,1,1,0,5,3,20,0,0,0,0,0,2,0,0,0,7,4,10,17.07,17.07,30.5,47.97,18.84,349.21,0
28,78.01393581,78.01393581,365.8133263,443.2334679,297.1477268,190.0266087,2.816496581,2.816496581,1.255928946,19.76006718,12.73011839,7.058709813,3.632993162,3.632993162,8.315404218,19.76006718,12.73011839,7.058709813,1,1,0,0.285714286,0.235294118,0,4,4,3,33,22,14,72.088,72.088,367.008,412.319,278.206,184.106,28.47844735,28.47844735,42.8030803,194.1164603,129.4755753,78.40010454,-0.0053,-0.0053,1.3104,5.561,4.6464,1.4912,0,0,0,2,0,0,0,0,0,2,2,1,1,1,0,3,4,3,0,0,0,1,1,1,0,0,0,7,6,1,17.07,17.07,0,56.69,65.26,67.51,0
29,78.01393581,78.01393581,365.8133263,443.2334679,297.1477268,382.0874947,2.816496581,2.816496581,1.255928946,19.76006718,12.73011839,14.80092304,3.632993162,3.632993162,8.315404218,19.76006718,12.73011839,15.61741963,1,1,0,0.285714286,0.235294118,0.142857143,4,4,3,33,22,27,72.088,72.088,367.008,412.319,278.206,364.293,28.47844735,28.47844735,42.8030803,194.1164603,129.4755753,157.1710017,-0.0053,-0.0053,1.3104,5.561,4.6464,3.72544,0,0,0,2,0,1,0,0,0,2,2,3,1,1,0,3,4,5,0,0,0,1,1,2,0,0,0,7,6,2,17.07,17.07,0,56.69,65.26,83.83,0
