,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
89,382.0874947,35.78682347,16.63970734,47.05280979,0.142857143,0,0.142857143,68,364.293,1006.704,364.287,474.9719444,-0.2956,3.72544,20,4,10,83.83,349.21,153.52,
90,382.0874947,16.63970734,14.80092304,16.63970734,0.142857143,0.142857143,0.142857143,29,364.293,364.287,364.293,168.8935364,-0.2956,3.72544,8,2,4,83.83,153.52,83.83,
91,382.0874947,16.63970734,21.63571365,16.63970734,0.142857143,0.142857143,0.2,29,364.293,364.287,479.825,168.8935364,-0.2956,3.72544,8,0,4,83.83,153.52,47.97,
92,382.0874947,16.63970734,16.76984402,16.63970734,0.142857143,0.142857143,0.208333333,29,364.293,364.287,330.285,168.8935364,-0.2956,3.72544,8,0,4,83.83,153.52,18.84,
93,382.0874947,16.63970734,12.73011839,16.63970734,0.142857143,0.142857143,0.235294118,29,364.293,364.287,278.206,168.8935364,-0.2956,3.72544,8,1,4,83.83,153.52,65.26,
94,382.0874947,16.63970734,6.724990191,16.63970734,0.142857143,0.142857143,0.333333333,29,364.293,364.287,173.558,168.8935364,-0.2956,3.72544,8,0,4,83.83,153.52,29.96,
95,382.0874947,16.63970734,19.76006718,16.63970734,0.142857143,0.142857143,0.285714286,29,364.293,364.287,412.319,168.8935364,-0.2956,3.72544,8,1,4,83.83,153.52,56.69,
96,382.0874947,16.63970734,7.058709813,16.63970734,0.142857143,0.142857143,0,29,364.293,364.287,184.106,168.8935364,-0.2956,3.72544,8,1,4,83.83,153.52,67.51,
97,382.0874947,16.63970734,34.11465457,16.63970734,0.142857143,0.142857143,0.058823529,29,364.293,364.287,968.628,168.8935364,-0.2956,3.72544,8,4,4,83.83,153.52,389.2,
98,382.0874947,16.63970734,35.78682347,16.63970734,0.142857143,0.142857143,0,29,364.293,364.287,1006.704,168.8935364,-0.2956,3.72544,8,2,4,83.83,153.52,349.21,
